titulo;autor;isbn;paginas;ano
Orçamento sem falhas;Nath Finanças;9786555601565;128;2021
Minha Sombria Vanessa;Kate Elizabeth Russell;9788551006276;432;2020
Recursão;Blake Crouch;9788551005378;320;2020
M, o Filho do Século;Antonio Scurati;9788551006078;816;2020
Oblivion Song: Entre Dois Mundos;Robert Kirkman;9788551006252;136;2020
Não se humilha, não;Isabela Freitas;9788551006092;320;2020
Os segredos que guardamos;Lara Prescott;9788551005675;368;2020
Baby Shark!;Stevie Lewis;9788551005842;32;2020
A Guerra Pela Uber;Mike Isaac;9788551006214;464;2020
Cidade nas Trevas;Adam Christopher;9788551006290;384;2020
Território Lovecraft;Matt Ruff;9788551006191;352;2020
A última porta;Scott Cawthon;9788551005989;336;2020
A Última Festa (e-Book);Lucy Foley;9788551005736;304;2020
Uma chance de lutar; Elizabeth Warren;9788551006313;400;2020
Uma Dor Tão Doce;David Nicholls;9788551005743;384;2020
DUPLICADO Este é o Mar;Mariana Enriquez;9788551005019;0;2020
A Última Festa;Lucy Foley;9788551005729;304;2020
Coragem;Raina Telgemeier;9788551006542;224;2020
A Convenção das Aves;Ransom Riggs;9788551006238;320;2020
Como o Cérebro Cria;David Eagleman;9788551006481;304;2020
1793;Niklas Natt och Dag;9788551006320;432;2020
Território Lovecraft;Matt Ruff;9788551006207;352;2020
Para Todos os Garotos que Já Amei;Jenny Han;9788580577266;320;2020
P.S.: Ainda Amo Você;Jenny Han;9788580578690;304;2020
O Livro de Líbero;Alfredo Nugent Setubal;9788551006177;256;2020
Terra Americana;Jeanine Cummins;9788551006528;416;2020
Você não merece ser feliz;Daniel Furlan;9788551006443;160;2020
O Livro De Líbero;Alfredo Nugent Setubal;9788551006177;256;2020
Princípios Para O Sucesso;Ray Dalio;9788551006467;168;2020
Black Hammer (Vol #4);Jeff Lemire;9788551006634;192;2020
A Convenção Das Aves;Ransom Riggs;9788551006245;320;2020
As Outras Pessoas;C.J. Tudor;9788551006504;304;2020
Uma Dor Tão Doce;David Nicholls;9788551005743;384;2020
A Grande Gripe;John M. Barry;9786555600162;608;2020
The Outsiders;S. E. Hinton;9788551006627;240;2020
SuperNormal;Greg James;9788551006719;336;2020
Inimigo Mortal;Michael T. Osterholm;9786555600131;304;2020
O Silêncio da Cidade Branca;Eva García Sáenz de Urturi;9788551006689;416;2020
A Casa Holandesa;Ann Patchett;9788551006184;345;2020
A Ultima Festa;Lucy Foley;nan;338;2020
A Tumba do Tirano;Rick Riordan;9788551005347;368;2020
As Outras Pessoas;C.J. Tudor;9788551006504;304;2020
Coraline;Neil Gaiman;9788551006757;224;2020
Sol da Meia-Noite;Stephenie Meyer;9786555600292;736;2020
Malorie;Josh Malerman;9786555600254;288;2020
Observações sobre um planeta nervoso;Matt Haig;9786555600209;320;2020
Onde os sonhos acontecem;Robert Iger;9788551006672;304;2020
A Vida Mentirosa dos Adultos;Elena Ferrante;9788551005910;430;2020
Capital e Ideologia;Thomas Piketty;9788551006153;1056;2020
A vida mentirosa dos adultos;Elena Ferrante;9788551006375;432;2020
O Árabe do Futuro;Riad Sattouf;9788551006665;288;2020
Com Amor, Creekwood;Becky Albertalli;9786555600278;144;2020
A Dança da Água;Ta-Nehisi Coates;9788551006368;400;2020
A Casa Holandesa;Ann Patchett;9788551006603;352;2020
Relatório da Desigualdade Mundial 2018;Facundo Alvaredo;nan;458;2020
Os Dois Mundos de Isabel;Daniela Arbex;9788551006580;304;2020
Cartas para Martin;Nic Stone;9788551006658;256;2020
A dança da água;Ta-Nehisi Coates;9788551006368;400;2020
Adultos; Emma Jane Unsworth;9786555600032;400;2020
Piano Mecânico;Kurt Vonnegut;9786555600223;496;2020
Amor & Sorte;Jenna Evans Welch;9786555600087;272;2020
Amor & Sorte;Jenna Evans Welch;9786555600094;272;2020
A Regra é Não Ter Regras;Reed Hastings;9786555600315;352;2020
Território Lovecraft;Matt Ruff;nan;395;2020
Árvore dos Desejos;K. A. Applegate;9786555600483;224;2020
